TC,LAT_GPS,LON_GPS,GPS_ALT,O3_TECO,CO_AERO,NO_pptV,NO2_pptV,NO,NO2,SS_ColA,CCN_ColA,SS_ColB,CCN_ColB,CNC_Conc,CO2_ppm,CH4,BC_mass,BC_number,Scatter_number,methanol_ppb,acetonitrile_ppb,acetaldehyde_ppb,acetone_ppb,isoprene_furan_ppb,mvk_macr_ppb,mek_ppb,benzene_ppb,toluene_ppb,c9_aromatics_ppb,monoterpenes_ppb
56695,-3.04239559173584,-59.9389038085938,631.5625,23.021842956543,155.9951171875,0,0,0,0,0.3286,4923.26,0.1363,427.26,-9999,389.95,1805.1,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56696,-3.04225158691406,-59.9397735595703,631.6875,23.021842956543,158.4609375,0,0,0,0,0.3285,145.89,0.1362,25.59,-9999,389.7,1806.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56697,-3.04211711883545,-59.9406433105469,632.9375,23.021842956543,157.702209472656,0,0,0,0,0.3284,156.17,0.1362,21.28,-9999,389.71,1805.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56698,-3.0419864654541,-59.9414978027344,633.9375,22.5287857055664,148.218383789063,0,0,0,0,0.3284,146.88,0.1362,33.02,-9999,389.74,1803.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56699,-3.04186344146729,-59.9423522949219,635.25,22.4301605224609,155.615783691406,0,0,0,0,0.3284,176.79,0.1362,110.39,-9999,389.58,1802.65,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56700,-3.04175186157227,-59.9432067871094,637.625,22.5287857055664,155.805419921875,156.09,401.27,156.09,401.27,0.3284,155.72,0.1362,101.45,-9999,388.89,1802.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56701,-3.04165077209473,-59.9440460205078,640.375,22.5287857055664,155.236450195313,0,0,0,0,0.3282,811.31,0.136,565.93,-9999,388.47,1804.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56702,-3.04156017303467,-59.9448852539063,643.125,20.9509811401367,156.564208984375,0,0,0,0,0.3281,897.89,0.136,642.06,-9999,389.29,1804.64,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56703,-3.04147434234619,-59.9457244873047,645.125,20.9509811401367,153.149963378906,0,0,0,0,0.3279,864.55,0.1359,683.28,-9999,389.19,1804.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56704,-3.04139804840088,-59.9465484619141,647.125,20.9509811401367,159.788696289063,0,0,0,0,0.3279,843.13,0.1359,641.47,-9999,389.2,1805.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56705,-3.04132556915283,-59.9473876953125,648.375,20.9509811401367,158.271301269531,0,0,0,0,0.3279,836.87,0.1359,626.81,-9999,389.21,1807.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56706,-3.04125785827637,-59.9482116699219,648.25,22.0357284545898,161.875122070313,0,0,0,0,0.328,838.57,0.1359,624.92,-9999,388.77,1807.75,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
